file,specID,status,scanID,desc,seq,rec,pic
JP01-dead-1scan_rec00749.jpg,JP01,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP02-dead-1scan-v3_rec00749.jpg,JP02,dead,1scan,v3,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP03-dead-1scan_rec00749.jpg,JP03,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP04-dead-1scan_v2_rec00749.jpg,JP04,dead,1scan,v2,inconsistent filename,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP04-dead-1scan_v3_rec00749.jpg,JP04,dead,1scan,v3,inconsistent filename,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP05-dead-1scan_rec00749.jpg,JP05,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP06-dead-1scan_rec00749.jpg,JP06,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP07-dead-1scan_rec00749.jpg,JP07,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP08-dead-1scan_rec00749.jpg,JP08,dead,1scan,,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-1scan-head_rec00749.jpg,JP09,invivo,1scan,head,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-1scan-neck_rec00749.jpg,JP09,invivo,1scan,neck,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-1scan-nose-v2_rec00749.jpg,JP09,invivo,1scan,nose-v2,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-1scan-nose_rec00749.jpg,JP09,invivo,1scan,nose,,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-20scan-phase1-injection_001_rec00749.jpg,JP09,invivo,20scan,phase1-injection,1,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-20scan-phase1-injection_002_rec00749.jpg,JP09,invivo,20scan,phase1-injection,2,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-20scan-phase1-injection_003_rec00749.jpg,JP09,invivo,20scan,phase1-injection,3,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
JP09-invivo-20scan-phase1-injection_004_rec00749.jpg,JP09,invivo,20scan,phase1-injection,4,rec00749,"<a href=""JP01-dead-1scan_rec00749.jpg"" target=""_blank""> <img src='JP01-dead-1scan_rec00749.jpg' height='70'></a>"
