file,specID,status,scanID,desc,seq,rec,pic
xx,JP01,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP02,dead,1scan,v3,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP03,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP04,dead,1scan,v2,inconsistent filename,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP04,dead,1scan,v3,inconsistent filename,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP05,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP06,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP07,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP08,dead,1scan,,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,1scan,head,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,1scan,neck,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,1scan,nose-v2,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,1scan,nose,,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,1,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,2,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,3,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,4,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,5,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,6,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,7,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,8,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,9,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,10,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,11,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,12,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,13,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,14,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,15,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,16,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,17,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,18,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,19,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP09,invivo,20scan,phase1-injection,20,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,1,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,2,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,3,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,4,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,5,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,6,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,7,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,8,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,9,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
xx,JP10,invivo,14scan,phase1-injection,10,rec00749,"<a href=""CA-dilution-1scan-afterJP15standing_rec00749.jpg"" target=""_blank""> <img src='CA-dilution-1scan-afterJP15standing_rec00749.jpg' height='70'></a>"
