subject,scoreA,scoreB,scoreC,scoreD
s01,74,105,1099.78,1080.12125
s02,47,135,1249.38,1248.705
s03,63,134,1080.5,1160.2025
s04,63,109,1334.62,1187.735
s05,59.5,95,1513.86,1411.9675
s06,85.5,123,1396.8,1203.1025
s07,99,124,1250.64,1223.03
s08,99,124,865,972.6675
s09,47,103,1545.73,1354.24875
s10,90,116,1398.17,1338.97
s11,19.5,112,1398.73,1381.37875
s12,94,94,1188,1403.94625
s13,50.5,122,1296.7,1246.80875
s14,66.5,111,1298.25,1253.8125
s15,38,102,1196.91,1244.6275
s16,4,NA,NA,NA
s17,32,113,1407.86,1446.29875
s18,NA,101,NA,NA
s19,79,115,1041.44,1157.7025
s20,34.5,113,904.5,1079.48125
s21,33,100,1738.67,1437.36875
s22,91,112,1002.25,1283.38375
s23,32,94,1755.75,1683.245
s24,77,109,1473.25,1271.55875
s25,29.5,108,999.92,998.7575
s26,38,98,1265.25,1471.595
s27,26.5,101,1291.57,1383.39125
s28,NA,NA,NA,NA
s29,38,110,1277.83,1252.45125
s30,13,100,1232.78,1348.105
s31,59.5,120,1226.78,1376.7775
s32,40.5,97,1204.18,1287.83375
s33,NA,NA,NA,NA
s34,18,112,1442.82,1433.04625
s35,22,112,955.92,1168.38375
s36,94,103,1221.73,1479.94
s37,59.5,104,1125.2,1367.12625
s38,18,115,1346.67,1351.73375
s39,59.5,114,1220.42,1519.375
s40,43.5,112,1340.9,1418.76
s41,72,113,945.5,1038.06375
s42,56.5,108,1159.29,1406.39
s43,47,109,1265.58,1356.96375
